,Avg temp,,,,,10-yr MA,,,,,,,,,,,,,,,,
year,Shanghai,Amsterdam,New_York,San_Jose,global,Shanghai,Amsterdam,New_York,San_Jose,global,,,,,,,,,,,,
1835,,9.13,8.48,,7.39,,,,,,,,,,,,,,,,,
1836,,9.04,7.51,,7.7,,,,,,,,,,,,,,,,,
1837,,8.52,8.12,,7.38,,,,,,,,,,,,,,,,,
1838,,7.62,8.73,,7.51,,,,,,,,,,,,,,,,,
1839,,8.92,9.17,,7.63,,,,,,,,,,,,,,,,,
1840,,8.35,9.27,,7.8,,,,,,,,,,,,,,,,,
1841,14.87,9.34,9,,7.69,,,,,,,,,,,,,,,,,
1842,15.43,9.11,9.41,,8.02,,,,,,,,,,,,,,,,,
1843,15.53,9.2,8.49,,8.17,,,,,,,,,,,,,,,,,
1844,15.33,8.24,9.12,,7.65,,,,,,,,,,,,,,,,,
1845,15.43,7.99,9.49,,7.85,,,,,,,,,,,,,,,,,
1846,15.85,10.26,9.66,,8.55,,,,,,,,,,,,,,,,,
1847,15.78,8.62,9.3,,8.09,,,,,,,,,,,,,,,,,
1848,15.02,9.11,9.54,,7.98,,,,,,,,,,,,,,,,,
1849,15.44,8.8,8.83,14.12,7.98,,,,,,,,,,,,,,,,,
1850,15.6,8.46,9.1,13.8,7.9,,,,,,,,,,,,,,,,,
1851,15.22,8.66,9.26,14.39,8.18,,,,,,,,,,,,,,,,,
1852,15.44,9.66,8.98,13.81,8.1,,,,,,,,,,,,,,,,,
1853,15.79,7.8,9.68,14.4,8.04,,,,,,,,,,,,,,,,,
1854,15.99,8.91,9.56,13.98,8.21,,,,,,,,,,,,,,,,,
1855,15.84,7.22,9.11,14.2,8.11,,,,,,,,,,,,,,,,,
1856,15.55,8.79,8.2,14.1,8,,,,,,,,,,,,,,,,,
1857,15.93,9.82,8.52,14.78,7.76,,,,,,,,,,,,,,,,,
1858,15.49,8.57,9.13,14.19,8.1,15.629,8.669,9.037,14.177,8.038,,,,,,,,,,,,
1859,15.64,9.81,9.17,13.71,8.25,15.649,8.77,9.071,14.136,8.065,,,,,,,,,,,,
1860,15.05,7.84,9.18,13.81,7.96,15.594,8.708,9.079,14.137,8.071,,,,,,,,,,,,
